Starting instrumented solve...
Solve Time: 0.6994s
Residual Calls: 1
Jacobian Calls: 5
Success: True
         829327 function calls (806698 primitive calls) in 1.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33877    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     5550    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      526    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _delegation.py:1(<module>)
    27750    0.003    0.000    0.003    0.000 _docscrape.py:43(__getitem__)
        1    0.000    0.000    0.003    0.003 components.py:1(<module>)
     1009    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.003    0.003 _differentialevolution.py:1(<module>)
      249    0.000    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 __init__.py:856(distribution)
        1    0.000    0.000    0.003    0.003 __init__.py:383(from_name)
      197    0.000    0.000    0.003    0.000 typing.py:1269(__init__)
       78    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 _svds.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _docscrape.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
     3506    0.001    0.000    0.003    0.000 _docscrape.py:86(is_unindented)
    26827    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.003    0.001 _aliases.py:1(<module>)
        2    0.000    0.000    0.003    0.001 sysconfig.py:751(get_config_var)
      4/3    0.000    0.000    0.003    0.001 sysconfig.py:711(get_config_vars)
        1    0.000    0.000    0.003    0.003 sysconfig.py:644(_init_config_vars)
      543    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
      150    0.001    0.000    0.002    0.000 _docscrape.py:290(_parse_see_also)
        1    0.000    0.000    0.002    0.002 _funcs.py:1(<module>)
        8    0.000    0.000    0.002    0.000 __init__.py:794(<genexpr>)
      547    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      118    0.001    0.000    0.002    0.000 inspect.py:2397(_signature_from_function)
        7    0.000    0.000    0.002    0.000 __init__.py:692(search)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
      954    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.002    0.001 _backend.py:1(<module>)
    10036    0.002    0.000    0.002    0.000 _parser.py:168(__getitem__)
       89    0.002    0.000    0.002    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.002    0.002 _decomp_svd.py:1(<module>)
       16    0.000    0.000    0.002    0.000 _functools.py:75(wrapper)
    23194    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 utils.py:1379(check_support_sve)
        1    0.000    0.000    0.002    0.002 _construct.py:1(<module>)
     1009    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       21    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.002    0.002 subprocess.py:506(run)
        4    0.000    0.000    0.002    0.001 enum.py:918(_convert_)
        1    0.000    0.000    0.002    0.002 subprocess.py:807(__init__)
        1    0.000    0.000    0.002    0.002 _ccallback.py:1(<module>)
        6    0.000    0.000    0.002    0.000 __init__.py:701(lookup)
        6    0.000    0.000    0.002    0.000 __init__.py:707(__init__)
     1009    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      547    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
    12125    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 subprocess.py:1791(_execute_child)
      448    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.002    0.002 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:1(<module>)
    18023    0.002    0.000    0.002    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.002    0.002 _trustregion_krylov.py:1(<module>)
        4    0.001    0.000    0.002    0.000 _codata.py:1995(parse_constants_2002to2014)
        1    0.000    0.000    0.002    0.002 _at.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
       62    0.000    0.000    0.002    0.000 _internal.py:32(inner)
     4506    0.001    0.000    0.002    0.000 copy.py:231(_keep_alive)
        3    0.000    0.000    0.002    0.001 basic.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _basinhopping.py:1(<module>)
     5584    0.001    0.000    0.002    0.000 _parser.py:261(get)
        1    0.000    0.000    0.002    0.002 case.py:1(<module>)
      583    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      746    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 uarray.py:1(<module>)
        2    0.001    0.001    0.002    0.001 _codata.py:2021(parse_constants_2018toXXXX)
       15    0.000    0.000    0.002    0.000 typing.py:2814(__new__)
